iter,T,accepted,kind,eqp_id,from,to,cand_obj,best_obj
1,1.0,True,noop,,,,,
2,0.9772372209558107,False,unassign,K1,A,,0.76,0.95
2,0.9772372209558107,False,assign,K2,,A,0.76,0.95
3,0.9549925860214359,True,unassign,K1,A,,0.76,0.95
3,0.9549925860214359,True,assign,K2,,A,0.76,0.95
4,0.933254300796991,True,assign,K1,,A,0.858,0.95
5,0.9120108393559097,True,unassign,K1,A,,0.76,0.95
6,0.8912509381337455,True,assign,K1,,A,0.95,0.95
6,0.8912509381337455,True,unassign,K2,A,,0.95,0.95
7,0.8709635899560806,True,assign,K2,,A,0.858,0.95
8,0.8511380382023764,True,noop,,,,,
9,0.831763771102671,True,noop,,,,,
10,0.8128305161640992,True,noop,,,,,
11,0.7943282347242814,True,unassign,K2,A,,0.95,0.95
12,0.7762471166286916,True,noop,,,,,
13,0.7585775750291837,True,unassign,K1,A,,0.76,0.95
13,0.7585775750291837,True,assign,K2,,A,0.76,0.95
14,0.7413102413009174,True,noop,,,,,
15,0.7244359600749899,True,noop,,,,,
16,0.7079457843841377,True,noop,,,,,
17,0.6918309709189363,True,noop,,,,,
18,0.6760829753919816,True,assign,K1,,A,0.858,0.95
19,0.6606934480075958,True,noop,,,,,
20,0.6456542290346553,True,unassign,K1,A,,0.76,0.95
21,0.630957344480193,True,noop,,,,,
22,0.616595001861482,True,assign,K1,,A,0.95,0.95
22,0.616595001861482,True,unassign,K2,A,,0.95,0.95
23,0.6025595860743576,True,noop,,,,,
24,0.5888436553555888,False,unassign,K1,A,,0.76,0.95
24,0.5888436553555888,False,assign,K2,,A,0.76,0.95
25,0.5754399373371568,True,unassign,K1,A,,0.76,0.95
25,0.5754399373371568,True,assign,K2,,A,0.76,0.95
26,0.562341325190349,True,assign,K1,,A,0.95,0.95
26,0.562341325190349,True,unassign,K2,A,,0.95,0.95
27,0.5495408738576244,True,unassign,K1,A,,0.76,0.95
27,0.5495408738576244,True,assign,K2,,A,0.76,0.95
28,0.5370317963702526,True,assign,K1,,A,0.858,0.95
29,0.5248074602497724,True,noop,,,,,
30,0.5128613839913647,True,noop,,,,,
31,0.5011872336272721,True,unassign,K2,A,,0.95,0.95
32,0.48977881936844603,True,noop,,,,,
33,0.4786300923226382,True,noop,,,,,
34,0.46773514128719806,True,noop,,,,,
35,0.4570881896148749,True,noop,,,,,
36,0.446683592150963,True,unassign,K1,A,,0.76,0.95
36,0.446683592150963,True,assign,K2,,A,0.76,0.95
37,0.4365158322401658,True,noop,,,,,
38,0.4265795188015925,True,assign,K1,,A,0.95,0.95
38,0.4265795188015925,True,unassign,K2,A,,0.95,0.95
39,0.41686938347033525,True,assign,K2,,A,0.858,0.95
40,0.40738027780411257,False,unassign,K1,A,,0.76,0.95
41,0.3981071705534971,True,noop,,,,,
42,0.38904514499428045,True,noop,,,,,
43,0.38018939632056103,True,noop,,,,,
44,0.3715352290971724,False,unassign,K1,A,,0.76,0.95
45,0.3630780547701012,True,noop,,,,,
46,0.3548133892335753,True,noop,,,,,
47,0.3467368504525315,False,unassign,K1,A,,0.76,0.95
48,0.3388441561392024,True,noop,,,,,
49,0.33113112148259094,True,noop,,,,,
50,0.3235936569296281,True,noop,,,,,
51,0.3162277660168378,True,noop,,,,,
52,0.3090295432513589,True,noop,,,,,
53,0.3019951720402015,True,noop,,,,,
54,0.2951209226666384,True,unassign,K2,A,,0.95,0.95
55,0.28840315031266045,True,assign,K2,,A,0.858,0.95
56,0.28183829312644526,False,unassign,K1,A,,0.76,0.95
57,0.2754228703338165,True,noop,,,,,
58,0.26915348039269144,True,noop,,,,,
59,0.26302679918953803,True,unassign,K1,A,,0.76,0.95
60,0.2570395782768862,True,noop,,,,,
61,0.25118864315095785,True,noop,,,,,
62,0.24547089156850288,True,assign,K1,,A,0.858,0.95
63,0.2398832919019489,True,noop,,,,,
64,0.23442288153199206,True,noop,,,,,
65,0.22908676527677715,True,noop,,,,,
66,0.2238721138568338,True,noop,,,,,
67,0.2187761623949551,True,noop,,,,,
68,0.21379620895022305,True,noop,,,,,
69,0.20892961308540378,False,unassign,K1,A,,0.76,0.95
70,0.20417379446695277,True,noop,,,,,
71,0.1995262314968878,True,noop,,,,,
72,0.19498445997580438,True,noop,,,,,
73,0.19054607179632457,True,noop,,,,,
74,0.1862087136662866,True,noop,,,,,
75,0.18197008586099822,True,noop,,,,,
76,0.17782794100389215,True,noop,,,,,
77,0.17378008287493743,True,noop,,,,,
78,0.1698243652461743,True,noop,,,,,
79,0.16595869074375594,True,noop,,,,,
80,0.16218100973589286,True,unassign,K2,A,,0.95,0.95
81,0.1584893192461112,False,assign,K2,,A,0.858,0.95
82,0.154881661891248,True,assign,K2,,A,0.858,0.95
83,0.15135612484362068,True,noop,,,,,
