iter,T,obj,best_obj,cnt_A
0,1.0,0.95,0.95,1
1,0.9772372209558107,0.95,0.95,1
2,0.9549925860214359,0.95,0.95,1
3,0.933254300796991,0.76,0.95,1
4,0.9120108393559097,0.858,0.95,2
5,0.8912509381337455,0.76,0.95,1
6,0.8709635899560806,0.95,0.95,1
7,0.8511380382023764,0.858,0.95,2
8,0.831763771102671,0.858,0.95,2
9,0.8128305161640992,0.858,0.95,2
10,0.7943282347242814,0.858,0.95,2
11,0.7762471166286916,0.95,0.95,1
12,0.7585775750291837,0.95,0.95,1
13,0.7413102413009174,0.76,0.95,1
14,0.7244359600749899,0.76,0.95,1
15,0.7079457843841377,0.76,0.95,1
16,0.6918309709189363,0.76,0.95,1
17,0.6760829753919816,0.76,0.95,1
18,0.6606934480075958,0.858,0.95,2
19,0.6456542290346553,0.858,0.95,2
20,0.630957344480193,0.76,0.95,1
21,0.616595001861482,0.76,0.95,1
22,0.6025595860743576,0.95,0.95,1
23,0.5888436553555888,0.95,0.95,1
24,0.5754399373371568,0.95,0.95,1
25,0.562341325190349,0.76,0.95,1
26,0.5495408738576244,0.95,0.95,1
27,0.5370317963702526,0.76,0.95,1
28,0.5248074602497724,0.858,0.95,2
29,0.5128613839913647,0.858,0.95,2
30,0.5011872336272721,0.858,0.95,2
31,0.48977881936844603,0.95,0.95,1
32,0.4786300923226382,0.95,0.95,1
33,0.46773514128719806,0.95,0.95,1
34,0.4570881896148749,0.95,0.95,1
35,0.446683592150963,0.95,0.95,1
36,0.4365158322401658,0.76,0.95,1
37,0.4265795188015925,0.76,0.95,1
38,0.41686938347033525,0.95,0.95,1
39,0.40738027780411257,0.858,0.95,2
40,0.3981071705534971,0.858,0.95,2
41,0.38904514499428045,0.858,0.95,2
42,0.38018939632056103,0.858,0.95,2
43,0.3715352290971724,0.858,0.95,2
44,0.3630780547701012,0.858,0.95,2
45,0.3548133892335753,0.858,0.95,2
46,0.3467368504525315,0.858,0.95,2
47,0.3388441561392024,0.858,0.95,2
48,0.33113112148259094,0.858,0.95,2
49,0.3235936569296281,0.858,0.95,2
50,0.3162277660168378,0.858,0.95,2
51,0.3090295432513589,0.858,0.95,2
52,0.3019951720402015,0.858,0.95,2
53,0.2951209226666384,0.858,0.95,2
54,0.28840315031266045,0.95,0.95,1
55,0.28183829312644526,0.858,0.95,2
56,0.2754228703338165,0.858,0.95,2
57,0.26915348039269144,0.858,0.95,2
58,0.26302679918953803,0.858,0.95,2
59,0.2570395782768862,0.76,0.95,1
60,0.25118864315095785,0.76,0.95,1
61,0.24547089156850288,0.76,0.95,1
62,0.2398832919019489,0.858,0.95,2
63,0.23442288153199206,0.858,0.95,2
64,0.22908676527677715,0.858,0.95,2
65,0.2238721138568338,0.858,0.95,2
66,0.2187761623949551,0.858,0.95,2
67,0.21379620895022305,0.858,0.95,2
68,0.20892961308540378,0.858,0.95,2
69,0.20417379446695277,0.858,0.95,2
70,0.1995262314968878,0.858,0.95,2
71,0.19498445997580438,0.858,0.95,2
72,0.19054607179632457,0.858,0.95,2
73,0.1862087136662866,0.858,0.95,2
74,0.18197008586099822,0.858,0.95,2
75,0.17782794100389215,0.858,0.95,2
76,0.17378008287493743,0.858,0.95,2
77,0.1698243652461743,0.858,0.95,2
78,0.16595869074375594,0.858,0.95,2
79,0.16218100973589286,0.858,0.95,2
80,0.1584893192461112,0.95,0.95,1
81,0.154881661891248,0.95,0.95,1
82,0.15135612484362068,0.858,0.95,2
83,0.1479108388168206,0.858,0.95,2
84,0.1445439770745926,0.95,0.95,1
85,0.14125375446227528,0.858,0.95,2
86,0.13803842646028833,0.858,0.95,2
87,0.1348962882591652,0.858,0.95,2
88,0.13182567385564053,0.858,0.95,2
89,0.12882495516931322,0.858,0.95,2
90,0.12589254117941656,0.858,0.95,2
91,0.123026877081238,0.858,0.95,2
92,0.12022644346174113,0.858,0.95,2
93,0.1174897554939528,0.858,0.95,2
94,0.11481536214968811,0.858,0.95,2
95,0.11220184543019618,0.858,0.95,2
96,0.10964781961431834,0.858,0.95,2
97,0.10715193052376049,0.858,0.95,2
98,0.1047128548050898,0.858,0.95,2
99,0.10232929922807525,0.858,0.95,2
100,0.09999999999999984,0.76,0.95,1
101,0.0977237220955809,0.95,0.95,1
102,0.09549925860214344,0.95,0.95,1
103,0.09332543007969894,0.95,0.95,1
104,0.09120108393559082,0.95,0.95,1
105,0.0891250938133744,0.95,0.95,1
106,0.08709635899560791,0.95,0.95,1
107,0.0851138038202375,0.95,0.95,1
108,0.08317637711026696,0.95,0.95,1
109,0.08128305161640978,0.95,0.95,1
110,0.07943282347242801,0.858,0.95,2
111,0.07762471166286904,0.76,0.95,1
112,0.07585775750291825,0.95,0.95,1
113,0.07413102413009162,0.95,0.95,1
114,0.07244359600749888,0.95,0.95,1
115,0.07079457843841366,0.95,0.95,1
116,0.06918309709189352,0.95,0.95,1
117,0.06760829753919805,0.95,0.95,1
118,0.06606934480075947,0.95,0.95,1
119,0.06456542290346542,0.95,0.95,1
120,0.0630957344480192,0.95,0.95,1
121,0.061659500186148096,0.95,0.95,1
122,0.060255958607435656,0.95,0.95,1
123,0.05888436553555878,0.95,0.95,1
124,0.057543993733715576,0.95,0.95,1
125,0.056234132519034793,0.95,0.95,1
126,0.054954087385762344,0.95,0.95,1
127,0.053703179637025165,0.95,0.95,1
128,0.052480746024977154,0.95,0.95,1
129,0.05128613839913638,0.95,0.95,1
130,0.05011872336272712,0.95,0.95,1
131,0.04897788193684451,0.95,0.95,1
132,0.04786300923226373,0.95,0.95,1
133,0.04677351412871971,0.95,0.95,1
134,0.045708818961487395,0.95,0.95,1
135,0.0446683592150962,0.95,0.95,1
136,0.04365158322401649,0.95,0.95,1
137,0.04265795188015916,0.95,0.95,1
138,0.041686938347033436,0.95,0.95,1
139,0.04073802778041117,0.95,0.95,1
140,0.03981071705534962,0.95,0.95,1
141,0.03890451449942796,0.95,0.95,1
142,0.03801893963205602,0.95,0.95,1
143,0.03715352290971716,0.95,0.95,1
144,0.03630780547701004,0.95,0.95,1
145,0.035481338923357454,0.95,0.95,1
146,0.034673685045253075,0.95,0.95,1
147,0.033884415613920166,0.95,0.95,1
148,0.03311311214825902,0.95,0.95,1
149,0.032359365692962744,0.95,0.95,1
150,0.031622776601683715,0.95,0.95,1
151,0.030902954325135828,0.95,0.95,1
152,0.030199517204020088,0.95,0.95,1
153,0.029512092266663785,0.95,0.95,1
154,0.028840315031265988,0.95,0.95,1
155,0.02818382931264447,0.95,0.95,1
156,0.027542287033381598,0.95,0.95,1
157,0.026915348039269094,0.95,0.95,1
158,0.026302679918953756,0.95,0.95,1
159,0.025703957827688577,0.95,0.95,1
160,0.025118864315095742,0.95,0.95,1
161,0.024547089156850246,0.95,0.95,1
162,0.02398832919019485,0.95,0.95,1
163,0.023442288153199167,0.95,0.95,1
164,0.02290867652767768,0.95,0.95,1
165,0.022387211385683344,0.95,0.95,1
166,0.021877616239495475,0.95,0.95,1
167,0.02137962089502227,0.95,0.95,1
168,0.020892961308540344,0.95,0.95,1
169,0.020417379446695243,0.95,0.95,1
170,0.019952623149688747,0.95,0.95,1
171,0.019498445997580403,0.95,0.95,1
172,0.01905460717963242,0.95,0.95,1
173,0.018620871366628624,0.95,0.95,1
174,0.018197008586099784,0.95,0.95,1
175,0.017782794100389177,0.95,0.95,1
176,0.017378008287493706,0.95,0.95,1
177,0.016982436524617395,0.95,0.95,1
178,0.016595869074375557,0.95,0.95,1
179,0.01621810097358925,0.95,0.95,1
180,0.015848931924611086,0.95,0.95,1
181,0.015488166189124766,0.95,0.95,1
182,0.015135612484362035,0.95,0.95,1
183,0.014791083881682028,0.95,0.95,1
184,0.014454397707459229,0.95,0.95,1
185,0.014125375446227498,0.95,0.95,1
186,0.013803842646028805,0.95,0.95,1
187,0.013489628825916493,0.95,0.95,1
188,0.01318256738556403,0.95,0.95,1
189,0.012882495516931299,0.95,0.95,1
190,0.012589254117941632,0.95,0.95,1
191,0.012302687708123776,0.95,0.95,1
192,0.01202264434617409,0.95,0.95,1
193,0.011748975549395257,0.95,0.95,1
194,0.01148153621496879,0.95,0.95,1
195,0.011220184543019597,0.95,0.95,1
196,0.010964781961431814,0.95,0.95,1
197,0.010715193052376028,0.95,0.95,1
198,0.010471285480508961,0.95,0.95,1
199,0.010232929922807507,0.95,0.95,1
200,0.009999999999999967,0.95,0.95,1
