eqp_id;od_id;cycle_min;mov_id
CW-107;11 SER - 09 GRADE;26;Producao Final Minerio
CW-107;11 SER - 09 GRADE;45;Producao Final Minerio
CW-107;16 BAL - 11 GRADE;500;Producao Final Minerio
CW-107;23 FGS - 11 GRADE;109;Producao Final Minerio
CW-107;23 FGS - 11 GRADE;77;Producao Final Minerio
CW-107;23 FGS - 11 GRADE;83;Producao Final Minerio
CW-108;23 FGS - 11 GRADE;84;Producao Final Minerio
CW-108;23 FGS - 11 GRADE;83;Producao Final Minerio
CW-110;15 BAL - 11 GRADE;34;Producao Final Minerio
CW-110;16 BAL - 09 GRADE;72;Producao Final Minerio
CW-110;16 BAL - 09 GRADE;71;Producao Final Minerio
CW-110;16 BAL - 09 GRADE;107;Producao Final Minerio
CW-110;16 BAL - 09 GRADE;68;Producao Final Minerio
CW-110;16 BAL - 09 GRADE;65;Producao Final Minerio
CW-110;23 FGS - 11 GRADE;107;Producao Final Minerio
CW-110;23 FGS - 11 GRADE;103;Producao Final Minerio
CW-110;23 FGS - 11 GRADE;116;Producao Final Minerio
CW-110;23 FGS - 11 GRADE;126;Producao Final Minerio
CW-110;23 FGS - 11 GRADE;76;Producao Final Minerio
CW-111;23 FGS - 11 GRADE;93;Producao Final Minerio
CW-112;23 FGS - 11 GRADE;105;Producao Final Minerio
CW-113;15 BAL - 11 GRADE;31;Producao Final Minerio
CW-113;15 BAL - 11 GRADE;29;Producao Final Minerio
CW-113;16 BAL - 09 GRADE;67;Producao Final Minerio
CW-113;16 BAL - 09 GRADE;72;Producao Final Minerio
CW-113;16 BAL - 09 GRADE;86;Producao Final Minerio
CW-113;16 BAL - 09 GRADE;56;Producao Final Minerio
CW-113;16 BAL - 09 GRADE;72;Producao Final Minerio
CW-113;23 FGS - 11 GRADE;114;Producao Final Minerio
CW-113;23 FGS - 11 GRADE;90;Producao Final Minerio
CW-113;23 FGS - 11 GRADE;99;Producao Final Minerio
CW-113;23 FGS - 11 GRADE;94;Producao Final Minerio
CW-113;23 FGS - 11 GRADE;106;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;13;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;12;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;12;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;11;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;11;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;15;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;12;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;12;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;13;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;13;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;12;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;12;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;12;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;11;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;12;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;13;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;12;Producao Final Minerio
CW-114;12 LIG - 11 GRADE;12;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;18;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;9;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;9;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;12;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;7;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;10;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;10;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;11;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;10;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;14;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;28;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;35;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;37;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;28;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;35;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;42;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;30;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;30;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;31;Producao Final Minerio
CW-114;15 BAL - 11 GRADE;34;Producao Final Minerio
CW-114;16 BAL - 09 GRADE;66;Producao Final Minerio
CW-114;23 FGS - 11 GRADE;87;Producao Final Minerio
CW-114;23 FGS - 11 GRADE;89;Producao Final Minerio
CW-114;23 FGS - 11 GRADE;109;Producao Final Minerio
CW-115;12 LIG - 11 GRADE;12;Producao Final Minerio
CW-115;16 BAL - 11 GRADE;95;Producao Final Minerio
CW-115;16 BAL - 09 GRADE;72;Producao Final Minerio
CW-115;16 BAL - 09 GRADE;74;Producao Final Minerio
CW-115;16 BAL - 09 GRADE;76;Producao Final Minerio
CW-115;16 BAL - 09 GRADE;71;Producao Final Minerio
CW-115;16 BAL - 09 GRADE;70;Producao Final Minerio
CW-115;23 FGS - 11 GRADE;98;Producao Final Minerio
CW-115;23 FGS - 11 GRADE;104;Producao Final Minerio
CW-115;23 FGS - 11 GRADE;90;Producao Final Minerio
CW-115;23 FGS - 11 GRADE;85;Producao Final Minerio
CW-115;23 FGS - 11 GRADE;100;Producao Final Minerio
CW-117;16 BAL - 11 GRADE;78;Producao Final Minerio
CW-117;16 BAL - 11 GRADE;59;Producao Final Minerio
CW-117;16 BAL - 11 GRADE;80;Producao Final Minerio
CW-117;16 BAL - 09 GRADE;45;Producao Final Minerio
